Add_Date,Add_Time,Advantage,Company,Degree,Description,Experience,Finance,Highlights,If_Intern,Income_Max(k),Income_Mid(k),Income_Min(k),Income_Range(k),Industry,Location,Path,Size,Sys_Date,Sys_Time,Tags,Title
20200217,00:00,国际化平台、环境舒适、好玩有趣,KLOOK 客路旅行,本科,"【KLOOK招聘可选用远程视频面试】
【岗位职责】1. 用户模型研究，根据不同业务场景提供用户相关数据分析2. 挖掘业务数据需求，为产品，市场，运营等部门提供决策支持3. 业务数据指标搭建，建立可视化商业报表4. 反欺诈风险模型的完善与持续优化
【任职资格】1. 本科以上学历。数学、统计、计算机相关专业优先2. 两年以上数据分析相关工作经验3. 熟悉数据库，精通SQL脚本编写。掌握Python/R分析工具者优先4. 良好逻辑思维能力，掌握数据分析方法，熟悉数据建模知识，能撰写数据分析报告5. 良好学习能力，良好跨部门沟通能力
【KLOOK福利】1、舒适、健康、人性化的办公环境；2、扁平化的团队管理，业务飞速发展，你的能力和价值很快会被大家看到；3、开放和充满激情的国际化团队，男女高颜值并且比例协调，每个人都有那么一点传奇；4、独特的创业团队氛围会让你在完成工作之余，还有自己的时间学习、成长；5、还要跟Homie同富游：团队足迹踏遍国家50+，等你来一起占领地球；6、团队天天下午茶，周周小聚餐，月胖三斤不是梦。",经验1-3年,D轮及以上,“国际化平台、环境舒适、好玩有趣”,0,35,26.5,18,18k-35k,旅游,上沙,https://www.lagou.com/jobs/6112946.html?show=cffced3215c44301960ad0cf36ebb032,500-2000人,20200219,08:19:40,零食水果供应 带薪年假 绩效奖金 扁平管理,数据分析
20200217,00:00,上市公司，机会多，成长快，团队氛围好,万兴科技集团股份有限公司,本科,"职位描述：
1、负责产品和用户运营数据分析，洞察挖掘转化提升点，提出方案建议，支撑运营决策和跟踪分析；
2、负责业务数据指标建设，支持业务日常运营和分析；
3、基于现有数据展示平台，实现运营指标可视化；
4、根据实际业务情况，对数据进行建模和挖掘，与运营部门一起建立并持续完善数据分析模型。

任职要求： 
1、本科及以上学历，计算机、应用数学、统计及相关专业；3年以上大数据分析相关经验；
2、以目标提升为导向，侧重增长的分析思维；
2、熟悉SQL，Hive，至少一种数据可视化工具和方法；
3、熟悉python优先；
4、良好的沟通交流能力，较好的逻辑分析能力，善于理解和分析业务，对数据敏感。",经验3-5年,上市公司,“上市公司，机会多，成长快，团队氛围好”,0,20,17.5,15,15k-20k,移动互联网,南油,https://www.lagou.com/jobs/6763020.html?show=cffced3215c44301960ad0cf36ebb032,500-2000人,20200219,08:20:07,大数据 数据分析,大数据分析师
20200218,00:00,大平台 行业领先 福利待遇好,招银网络科技,本科,"职责描述：
1. 负责公司大数据平台整体解决方案规划、设计、开发和完善.
2. 制定数据库开发相关规范和流程，大数据平台实施相关文档编写.
3. 大数据相关新技术的研究和应用。

任职要求：
1. 全日制本科及以上学历，2年以上相关工作经验；
2. 精通hadoop等开源产品和开源框架，熟悉开源大数据部署和实施；
3. 有较强的学习和抗压能力，工作积极主动，对技术有强烈的热情，热衷于新技术学习和应用；
4. 有海量数据处理经验；
5. 有保险、证券、银行等金融行业大数据库开发、实施经验优先；",经验1-3年,不需要融资,“大平台 行业领先 福利待遇好”,0,30,25.0,20,20k-30k,金融,南山医院,https://www.lagou.com/jobs/6692363.html?show=cffced3215c44301960ad0cf36ebb032,2000人以上,20200219,08:20:39,Hadoop Spark,大数据分析岗
20200218,00:00,"大神指导,高配团队,年终奖,带薪旅行",乐易网络,本科,"乐易网络是一家数据驱动的手游公司，诚邀您作为数据分析工程师加入我们的数据平台团队，使用数据模型来优化我们的运营模式。

岗位职责：
1、负责对游戏运营的相关数据进行分析，完成从数据埋点、数据接入、验证、分析至数据可视化、专项数据分析报告输出的全套数据分析工作；
2、迭代优化固定数据分析产品，提高分析工作的时效性、准确性、稳定性、灵活性；
3、负责与产品、客户端、后台、测试沟通协调，并基于数据分析结果推动问题解决或游戏优化，持续关注后续数据表现及玩家反馈；

任职资格：
1、性格活泼开朗，态度积极向上，富有钻研精神；
2、坚实的统计基础知识，能够灵活运用统计工具解决实际问题；
3、熟练掌握SQL，能够实现数据拉取整合等基础操作；熟练掌握R，能够实现数据整合、计算及结果展示;
4、良好的沟通表达能力，能够使用简单通俗的语言准确、快速传递分析结果；
5、缜密的逻辑思维，能够透过复杂的现象敏锐捕捉到事务的本质；
6、统招本科及以上学历，统计、机器学习相关专业，经验不限，英文能力强者优先。  

关于我们：
我们是一家专注海外精品手机游戏自主研发、发行和运营，致力于打造***一流的产品的游戏公司。
公司技术深厚，创始人、CTO（原腾讯部门总监），研发经理及技术骨干均为腾讯技术背景。
从2011年公司成立至今，公司一直以来都保持着良好的发展态势：2016年初，我们完成了A轮融资，市场估值10亿人民币；2018年，我们单款游戏便创造了过亿的年收入。
在这里，我们实行一对一导师制度，热心可爱的导师将会帮助每一位新人学习和成长。良好的团队和技术氛围更是吸引了许多来自各大互联网企业及海内外知名院校的精英人才，目前我们的团队规模已经超过了200人。

福利待遇：
1.有竞争力的薪资待遇
试用期全薪、一年两次加薪机会、年终奖最高达10个月、导师一对一带教
2.完善的保障体系
深圳户口、六险一金、年度体检、7天年假15天半薪事假30天全薪病假、婚假、产检假、丧假，及各类津贴
3.丰富的员工福利
节日假期和节日礼包、2天春节特别福利假、一年两次旅游、每月生日会和团建活动、入职礼包和下午茶、无限量零食和水果
4.友好的团队氛围
平等、友爱、团结、协作、各类社团活动、各种趴体约你玩

主推产品：
Blaze of Battle：一款超经典的SLG游戏，单款游戏年收入过亿。
West Game：**款也是人气**的西部主题SLG游戏，上线不到三个月，月收入便突破百万美金。
※  说明：以上游戏仅限海外市场发行。Google Play下载需要使用海外代理，iOS下载请切换其他地区账号。
  如果你做好投身于移动互联网行业的准备，如果您对自己的能力充满自信，Welcome to Leyi！We want U！",经验1年以下,不需要融资,"“大神指导,高配团队,年终奖,带薪旅行”",0,20,15.0,10,10k-20k,"移动互联网,游戏",南山区,https://www.lagou.com/jobs/5195111.html?show=cffced3215c44301960ad0cf36ebb032,150-500人,20200219,08:21:12,游戏 SQL,数据分析
20200218,00:00,年终奖；团队,BLUE,本科,"岗位职责：
1、负责以数据驱动产品的用户增长，并以数据分析结论推动优化产品中的各个功能和流程；
2、对用户特征数据、用户行为数据、付费数据进行数据挖掘、统计建模分析，并将分析结果上报；
3、负责行业数据的跟踪及分析、竞品的数据分析，结合产品提出产品建议；
4、基于对业务需求的充分理解，设计数据分析和洞察方案，洞察数据分布规律、变化趋势、关联关系等设计数据分析模型并输出数据分析和策略建议报告。

岗位职责：
1、本科及以上学历，数学、统计、金融等相关专业；
2、三年以上工作经验，同时具备用户运营和商业分析经验者优先考虑；
2、熟悉SQL，熟悉python、R、shell等至少一种语言，有技术开发背景优先；
4、能够以客观的数据和严谨的分析过程，形成可靠的分析结论及建议，推动产品进行优化调整；
5、对数据敏感，善于发现数据中的潜在规律，善于分析问题，有很强的逻辑思维能力和推理能力。",经验3-5年,C轮,“年终奖；团队”,0,25,20.0,15,15k-25k,"消费生活,移动互联网",科技园,https://www.lagou.com/jobs/6229664.html?show=cffced3215c44301960ad0cf36ebb032,500-2000人,20200219,08:21:47,商业,数据分析
20200218,00:00,平台大 团队好,TCL,本科,"岗位职责：
1、深入理解互联网电视广告、内容、会员等业务，系统建立和完善日常业务监控体系，呈现业务经营情况。
2、监测分析业务运营状况，对异常波动进行分析，持续优化产品功能改造和业务拓展方向，提出和落实产品优化改造方案。
3、分析用户行为数据，探索用户行为模式，构建用户生命周期和构建用户标签体系等。
4、完成不定期的专题分析报告，并做演示汇报。
任职资格：
1. 本科及以上学历，信息、管理科学、统计、应用数学等相关专业优先；
2. 能熟练运用SQL、excel，至少掌握一种数据分析工具SPSS、python、R等，独立且高效地完成数据的提取及分析，有处理海量数据的经验；
3. 有数据敏感度，能从海量数据中提取核心结论，并用清晰且简洁的方式呈现其商业洞察；
4. 有互联网行业经验，OTT行业经验优先；
5. 逻辑思维清晰，严谨细致，有良好的沟通理解能力和跨团队协作精神；",经验3-5年,上市公司,“平台大 团队好”,0,30,24.0,18,18k-30k,"移动互联网,其他",南山区,https://www.lagou.com/jobs/6216651.html?show=cffced3215c44301960ad0cf36ebb032,2000人以上,20200219,08:22:14,数据分析 SQL SPSS,数据分析师
20200218,00:00,**的项目团队可以让你得到快速成长,YIDATEC,大专,"岗位职责：
1、业务数据提取、专项分析
2、业务日常报表的维护，开发相关工作

岗位要求：
有2年以上数据分析、数据处理经验；
有Linux下mysql、shell、python等编程经验；
熟悉Hive SQL编写，有hadoop、spark开发经验者优先；
熟悉数据仓库、数据建模、数据埋点，对数据敏感、有强烈的好奇心和责任感；
熟悉游戏行业者优先。",经验1-3年,不需要融资,“**的项目团队可以让你得到快速成长”,0,15,12.5,10,10k-15k,"移动互联网,游戏",科技园,https://www.lagou.com/jobs/6739447.html?show=cffced3215c44301960ad0cf36ebb032,2000人以上,20200219,08:22:36,SQL 数据库,数据分析
20200218,00:00,行业好，福利待遇好，独角兽企业,云天励飞,硕士,"工作职责：
1、 参与海量数据预处理、分析及其加速
2、 探索、开发并维护数据基础设施，提供各种高效数据访问和处理工具
3、 优化并行计算模型，利用经典的机器学习模型快速提取数据特征
4、 基于数据特性，设计新的机器学习模型，并使设计的模型输出可解释性的结果


任职资格：
1、 全日制硕士及以上学历
2、熟悉大规模数据处理的技术，了解分布式计算环境的基本原理
3、 熟悉服务器各种基本操作，包括服务器的资源分配与管理
4、 有快速编程能力（Python, Scala和C++等）
5、 熟练掌握传统机器学习模型（KMeans, GMM和SVM等）的基本原理及其实现
6、 有深度学习模型开发经验
7、 熟悉Hadoop生态圈，以及Hbase、Spark等开发者优先考虑",经验5-10年,B轮,“行业好，福利待遇好，独角兽企业”,0,55,45.0,35,35k-55k,人工智能,深圳湾,https://www.lagou.com/jobs/6509478.html?show=cffced3215c44301960ad0cf36ebb032,500-2000人,20200219,08:23:09,Hadoop 数据挖掘 数据分析,大数据分析工程师
20200218,00:00,人工智能,云天励飞,本科,"1、参与数据分析与挖掘系统的需求分析，方案设计、系统研发和业务挖掘工作
2、参与图像大数据挖掘项目的开发
任职资格：1、熟悉Java平台IO、多线程、网络等基础知识和相关框架
2、熟悉Linux基础知识和常用命令，能较强的分析和解决问题能力
3、熟悉HDFS、Hbase、Hive等大数据存储技术工具，原理和应用
4、熟悉Yarn/Mesos、MapReduce/Spark，Kylin等大数据分析技术的一种或多种
5、熟悉数据集成和大规模数据转换技术和工具，如Kettle，Sqoop，Flume等
6、熟悉数据采集工程（爬虫）工作原理，能编写和部署大规模爬虫系统",经验3-5年,B轮,“人工智能”,0,28,22.5,17,17k-28k,人工智能,前海,https://www.lagou.com/jobs/5694165.html?show=cffced3215c44301960ad0cf36ebb032,500-2000人,20200219,08:23:43,数据挖掘 数据分析,大数据分析与挖掘工程师
20200218,00:00,上市公司、技术氛围好、弹性工作制,极光,不限,"职位描述：
1.对产品进行数据分析，发现问题并配合提出解决方案；
2.跟踪并进行竞品分析，找出产品优劣势；
3.产品运营及推广，销售或客户线索跟踪反馈；
4.产品功能点创新与颠覆。
  职位要求：
1.至少有一段工作经历超过2年，且与数据分析或产品相关工作经验；
2.了解概率论与数理统计的原理及方法；
3.了解数据分析，数据挖掘基本算法和数学模型，有大量数据搜集、整理分析与推断预测的经验；
4.熟练一种统计软件(R, SPSS, SAS等)，有数据处理，统计分析，数据建模，机器学习等相关算法应用经历；
5.掌握一定的关系数据库知识，熟悉SQL语言。",经验5-10年,上市公司,“上市公司、技术氛围好、弹性工作制”,0,40,30.0,20,20k-40k,企业服务,南山区,https://www.lagou.com/jobs/6809539.html?show=cffced3215c44301960ad0cf36ebb032,500-2000人,20200219,08:24:18,数据分析,数据分析师
20200218,00:00,"工作氛围好,成长空间大",懒人听书,本科,"岗位职责：
1、 监控运营各项KPI指标，通过excel、、PPT、powerbi等工具定期输出数据，异常值分析报告；
2、 通过对公司运营数据研究，提出改善方法和建议，完善BI数据分析体系；
3、 负责对接运营各部门的数据分析需求；为各团队提供数据支持；
4、 了解统计分析、数据分析基础理论与方法，有一定的数据建模经验。
岗位要求：
1、 本科以上，计算机、数学、统计学相关专业；
2、 一年以上互联网行业数据分析经验，数据敏感度高，逻辑思维能力强；
3、 熟悉SQL语句，能独立做数据逻辑处理和取数；
4、 至少使用过python、R、SPSS等工具中的一种，熟练掌握多种统计和挖掘方法",经验1-3年,C轮,"“工作氛围好,成长空间大”",0,10,9.0,8,8k-10k,移动互联网,大冲,https://www.lagou.com/jobs/6265336.html?show=cffced3215c44301960ad0cf36ebb032,150-500人,20200219,08:24:58,移动互联网 数据分析,数据分析专员
20200206,00:00,国产工具软件，全球市场，几亿年营收,万兴科技集团股份有限公司,本科,"岗位职责：
1、面向全球市场（主海外）的视频工具软件业务；
2、负责产品和用户运营数据分析，洞察挖掘转化提升点，提出方案建议，支撑运营决策和跟踪分析；
3、负责业务数据指标建设，支持业务日常运营和分析；
4、基于现有数据展示平台，实现运营指标可视化；
5、根据实际业务情况，对数据进行建模和挖掘，与运营部门一起建立并持续完善数据分析模型；

任职要求： 
1、本科及以上学历，计算机、应用数学、统计及相关专业；3年以上大数据分析相关经验；
2、以目标提升为导向，侧重增长的分析思维；
2、熟悉SQL，Hive，至少一种数据可视化工具和方法；
3、熟悉python优先
4、良好的沟通交流能力，较好的逻辑分析能力，善于理解和分析业务，对数据敏感。",经验5-10年,上市公司,“国产工具软件，全球市场，几亿年营收”,0,25,19.0,13,13k-25k,移动互联网,科技园,https://www.lagou.com/jobs/6793198.html?show=cffced3215c44301960ad0cf36ebb032,500-2000人,20200219,08:25:29,大数据 数据分析 Hive,大数据分析师
20200218,00:00,"D轮+,14薪+,攻城狮氛围,弹性工作",极光,本科,"职位描述：
1.对产品进行数据分析，发现问题并配合提出解决方案；
2.跟踪并进行竞品分析，找出产品优劣势。
3.产品运营及推广，销售或客户线索跟踪反馈；
4.产品功能点创新与颠覆。
职位要求：
1.3年以上与数据分析或产品相关工作经验；
2.了解概率论与数理统计的原理及方法，
3.了解数据分析，数据挖掘基本算法和数学模型，有大量数据搜集、整理分析与推断预测的经验；
4.熟练一种统计软件(R, SPSS, SAS等)，有数据处理，统计分析，数据建模，机器学习等相关算法应用经历；
5.掌握一定的关系数据库知识，熟悉SQL语言。",经验3-5年,上市公司,"“D轮+,14薪+,攻城狮氛围,弹性工作”",0,25,20.0,15,15k-25k,企业服务,南头,https://www.lagou.com/jobs/3941822.html?show=cffced3215c44301960ad0cf36ebb032,500-2000人,20200219,08:26:05,数据挖掘 数据分析,高级数据分析师（深圳）
20200218,00:00,团队大牛,AKULAKU,本科,"工作职责:
1.#指标体系# 熟练运用数据分析，构建准确能反映服务电商业务特征的指标体系, 并基于业务监控指标体系能定位业务问题 ；
2.#提供数据# 根据日常业务数据及产品和数据建模团队的需求，提供相关数据指标和分析 ；
3.#发现问题# 根据业务发展情况，从数据中发现业务及产品的问题点及机会点，给业务及产品提供相应的方向 ；
4.#数据驱动# 沉淀分析思路与框架， 提炼数据产品需求，与相关团队（如技术开发团队） 协作并推动数据产品的落地 ；
5.#建模合作# 与相关团队协作进行数据建模工作。 


岗位需求：
1.#专业背景# 统计、数学、信息技术、生物统计本科以上学历，有3年及以上电商BI工作经验优先；
2.#数据敏感# 良好的数据敏感度,能从海量数据提炼核心结果，有数据分析、挖掘、清洗和建模的经验；
3.#技能要求# 精通excel，熟练运用SQL语句，掌握Python等语言更优，能高效的与数据技术团队进行沟通；
4.#综合能力# 思维逻辑清晰，细心沉稳，英语综合能力能应对工作，最重要是热爱数据分析。",经验3-5年,D轮及以上,“团队大牛”,0,25,20.0,15,15k-25k,"移动互联网,金融",科技园,https://www.lagou.com/jobs/6792748.html?show=cffced3215c44301960ad0cf36ebb032,500-2000人,20200219,08:26:34,电商 金融 数据分析 MySQL 数据库,中高级数据分析师(J10421)
20200218,00:00,亿级用户、大牛团队、发展空间大,vivo,本科,"工作内容：
1、负责应用分发相关业务数据分析规划，识别并落地价值，驱动业务增长；
2、参与数据相关议题的讨论，负责把业务增长类命题转化为系统化的数据实验并落地，以推进项目迭代；
3、了解业务困惑，跟进业务专项命题，通过数据手段，为业务迭代提供建议，并推动落地；
4、搭建运营类数学模型，支撑业务运营效率提升；
5、设计业务评估体系，对项目灰度、放量、上线等数据流程的科学性负责；
6、主导数据异常的排查，并推动相关方解决；
7、负责项目数据统计工作。

岗位要求：
1、本科及以上学历，5年及以上数据分析及数据挖掘相关经验，计算机、数学统计类或其他理工类专业优先；
2、具有互联网行业背景，对移动互联网发展有清晰认识，对数据分析有浓厚的兴趣；
3、熟悉常见数据分析理论及方法，能够通过专业分析技能识别业务价值，并落地实施；
4、熟悉hadoop仓库环境，精通hivesql，有海量数据处理经验；
5、具有直观的数据展现和解读能力，能够使用office软件生成分析报告；
6、能够使用python，R、SAS，spss，matlab等分析工具之一优先；
7、有良好的团队合作及沟通能力。",经验5-10年,不需要融资,“亿级用户、大牛团队、发展空间大”,0,45,35.0,25,25k-45k,硬件,新安,https://www.lagou.com/jobs/5523984.html?show=cffced3215c44301960ad0cf36ebb032,2000人以上,20200219,08:27:08,数据分析,资深\高级数据分析师（互联网）
20200217,00:00,国际化平台、环境舒适、好玩有趣,KLOOK 客路旅行,本科,"【KLOOK招聘可选用远程视频面试】
【岗位职责】1. 用户模型研究，根据不同业务场景提供用户相关数据分析2. 挖掘业务数据需求，为产品，市场，运营等部门提供决策支持3. 业务数据指标搭建，建立可视化商业报表4. 反欺诈风险模型的完善与持续优化
【任职资格】1. 本科以上学历。数学、统计、计算机相关专业优先2. 两年以上数据分析相关工作经验3. 熟悉数据库，精通SQL脚本编写。掌握Python/R分析工具者优先4. 良好逻辑思维能力，掌握数据分析方法，熟悉数据建模知识，能撰写数据分析报告5. 良好学习能力，良好跨部门沟通能力
【KLOOK福利】1、舒适、健康、人性化的办公环境；2、扁平化的团队管理，业务飞速发展，你的能力和价值很快会被大家看到；3、开放和充满激情的国际化团队，男女高颜值并且比例协调，每个人都有那么一点传奇；4、独特的创业团队氛围会让你在完成工作之余，还有自己的时间学习、成长；5、还要跟Homie同富游：团队足迹踏遍国家50+，等你来一起占领地球；6、团队天天下午茶，周周小聚餐，月胖三斤不是梦。",经验1-3年,D轮及以上,“国际化平台、环境舒适、好玩有趣”,0,35,26.5,18,18k-35k,旅游,上沙,https://www.lagou.com/jobs/6112946.html?show=432f0d0792554576bd2cf73661f93d47,500-2000人,20200219,08:28:19,零食水果供应 带薪年假 绩效奖金 扁平管理,数据分析
20200217,00:00,上市公司，机会多，成长快，团队氛围好,万兴科技集团股份有限公司,本科,"职位描述：
1、负责产品和用户运营数据分析，洞察挖掘转化提升点，提出方案建议，支撑运营决策和跟踪分析；
2、负责业务数据指标建设，支持业务日常运营和分析；
3、基于现有数据展示平台，实现运营指标可视化；
4、根据实际业务情况，对数据进行建模和挖掘，与运营部门一起建立并持续完善数据分析模型。

任职要求： 
1、本科及以上学历，计算机、应用数学、统计及相关专业；3年以上大数据分析相关经验；
2、以目标提升为导向，侧重增长的分析思维；
2、熟悉SQL，Hive，至少一种数据可视化工具和方法；
3、熟悉python优先；
4、良好的沟通交流能力，较好的逻辑分析能力，善于理解和分析业务，对数据敏感。",经验3-5年,上市公司,“上市公司，机会多，成长快，团队氛围好”,0,20,17.5,15,15k-20k,移动互联网,南油,https://www.lagou.com/jobs/6763020.html?show=432f0d0792554576bd2cf73661f93d47,500-2000人,20200219,08:28:53,大数据 数据分析,大数据分析师
20200218,00:00,大平台 行业领先 福利待遇好,招银网络科技,本科,"职责描述：
1. 负责公司大数据平台整体解决方案规划、设计、开发和完善.
2. 制定数据库开发相关规范和流程，大数据平台实施相关文档编写.
3. 大数据相关新技术的研究和应用。

任职要求：
1. 全日制本科及以上学历，2年以上相关工作经验；
2. 精通hadoop等开源产品和开源框架，熟悉开源大数据部署和实施；
3. 有较强的学习和抗压能力，工作积极主动，对技术有强烈的热情，热衷于新技术学习和应用；
4. 有海量数据处理经验；
5. 有保险、证券、银行等金融行业大数据库开发、实施经验优先；",经验1-3年,不需要融资,“大平台 行业领先 福利待遇好”,0,30,25.0,20,20k-30k,金融,南山医院,https://www.lagou.com/jobs/6692363.html?show=432f0d0792554576bd2cf73661f93d47,2000人以上,20200219,08:29:33,Hadoop Spark,大数据分析岗
20200218,00:00,"大神指导,高配团队,年终奖,带薪旅行",乐易网络,本科,"乐易网络是一家数据驱动的手游公司，诚邀您作为数据分析工程师加入我们的数据平台团队，使用数据模型来优化我们的运营模式。

岗位职责：
1、负责对游戏运营的相关数据进行分析，完成从数据埋点、数据接入、验证、分析至数据可视化、专项数据分析报告输出的全套数据分析工作；
2、迭代优化固定数据分析产品，提高分析工作的时效性、准确性、稳定性、灵活性；
3、负责与产品、客户端、后台、测试沟通协调，并基于数据分析结果推动问题解决或游戏优化，持续关注后续数据表现及玩家反馈；

任职资格：
1、性格活泼开朗，态度积极向上，富有钻研精神；
2、坚实的统计基础知识，能够灵活运用统计工具解决实际问题；
3、熟练掌握SQL，能够实现数据拉取整合等基础操作；熟练掌握R，能够实现数据整合、计算及结果展示;
4、良好的沟通表达能力，能够使用简单通俗的语言准确、快速传递分析结果；
5、缜密的逻辑思维，能够透过复杂的现象敏锐捕捉到事务的本质；
6、统招本科及以上学历，统计、机器学习相关专业，经验不限，英文能力强者优先。  

关于我们：
我们是一家专注海外精品手机游戏自主研发、发行和运营，致力于打造***一流的产品的游戏公司。
公司技术深厚，创始人、CTO（原腾讯部门总监），研发经理及技术骨干均为腾讯技术背景。
从2011年公司成立至今，公司一直以来都保持着良好的发展态势：2016年初，我们完成了A轮融资，市场估值10亿人民币；2018年，我们单款游戏便创造了过亿的年收入。
在这里，我们实行一对一导师制度，热心可爱的导师将会帮助每一位新人学习和成长。良好的团队和技术氛围更是吸引了许多来自各大互联网企业及海内外知名院校的精英人才，目前我们的团队规模已经超过了200人。

福利待遇：
1.有竞争力的薪资待遇
试用期全薪、一年两次加薪机会、年终奖最高达10个月、导师一对一带教
2.完善的保障体系
深圳户口、六险一金、年度体检、7天年假15天半薪事假30天全薪病假、婚假、产检假、丧假，及各类津贴
3.丰富的员工福利
节日假期和节日礼包、2天春节特别福利假、一年两次旅游、每月生日会和团建活动、入职礼包和下午茶、无限量零食和水果
4.友好的团队氛围
平等、友爱、团结、协作、各类社团活动、各种趴体约你玩

主推产品：
Blaze of Battle：一款超经典的SLG游戏，单款游戏年收入过亿。
West Game：**款也是人气**的西部主题SLG游戏，上线不到三个月，月收入便突破百万美金。
※  说明：以上游戏仅限海外市场发行。Google Play下载需要使用海外代理，iOS下载请切换其他地区账号。
  如果你做好投身于移动互联网行业的准备，如果您对自己的能力充满自信，Welcome to Leyi！We want U！",经验1年以下,不需要融资,"“大神指导,高配团队,年终奖,带薪旅行”",0,20,15.0,10,10k-20k,"移动互联网,游戏",南山区,https://www.lagou.com/jobs/5195111.html?show=432f0d0792554576bd2cf73661f93d47,150-500人,20200219,08:30:00,游戏 SQL,数据分析
20200218,00:00,年终奖；团队,BLUE,本科,"岗位职责：
1、负责以数据驱动产品的用户增长，并以数据分析结论推动优化产品中的各个功能和流程；
2、对用户特征数据、用户行为数据、付费数据进行数据挖掘、统计建模分析，并将分析结果上报；
3、负责行业数据的跟踪及分析、竞品的数据分析，结合产品提出产品建议；
4、基于对业务需求的充分理解，设计数据分析和洞察方案，洞察数据分布规律、变化趋势、关联关系等设计数据分析模型并输出数据分析和策略建议报告。

岗位职责：
1、本科及以上学历，数学、统计、金融等相关专业；
2、三年以上工作经验，同时具备用户运营和商业分析经验者优先考虑；
2、熟悉SQL，熟悉python、R、shell等至少一种语言，有技术开发背景优先；
4、能够以客观的数据和严谨的分析过程，形成可靠的分析结论及建议，推动产品进行优化调整；
5、对数据敏感，善于发现数据中的潜在规律，善于分析问题，有很强的逻辑思维能力和推理能力。",经验3-5年,C轮,“年终奖；团队”,0,25,20.0,15,15k-25k,"消费生活,移动互联网",科技园,https://www.lagou.com/jobs/6229664.html?show=432f0d0792554576bd2cf73661f93d47,500-2000人,20200219,08:30:32,商业,数据分析
20200218,00:00,平台大 团队好,TCL,本科,"岗位职责：
1、深入理解互联网电视广告、内容、会员等业务，系统建立和完善日常业务监控体系，呈现业务经营情况。
2、监测分析业务运营状况，对异常波动进行分析，持续优化产品功能改造和业务拓展方向，提出和落实产品优化改造方案。
3、分析用户行为数据，探索用户行为模式，构建用户生命周期和构建用户标签体系等。
4、完成不定期的专题分析报告，并做演示汇报。
任职资格：
1. 本科及以上学历，信息、管理科学、统计、应用数学等相关专业优先；
2. 能熟练运用SQL、excel，至少掌握一种数据分析工具SPSS、python、R等，独立且高效地完成数据的提取及分析，有处理海量数据的经验；
3. 有数据敏感度，能从海量数据中提取核心结论，并用清晰且简洁的方式呈现其商业洞察；
4. 有互联网行业经验，OTT行业经验优先；
5. 逻辑思维清晰，严谨细致，有良好的沟通理解能力和跨团队协作精神；",经验3-5年,上市公司,“平台大 团队好”,0,30,24.0,18,18k-30k,"移动互联网,其他",南山区,https://www.lagou.com/jobs/6216651.html?show=432f0d0792554576bd2cf73661f93d47,2000人以上,20200219,08:31:07,数据分析 SQL SPSS,数据分析师
20200218,00:00,**的项目团队可以让你得到快速成长,YIDATEC,大专,"岗位职责：
1、业务数据提取、专项分析
2、业务日常报表的维护，开发相关工作

岗位要求：
有2年以上数据分析、数据处理经验；
有Linux下mysql、shell、python等编程经验；
熟悉Hive SQL编写，有hadoop、spark开发经验者优先；
熟悉数据仓库、数据建模、数据埋点，对数据敏感、有强烈的好奇心和责任感；
熟悉游戏行业者优先。",经验1-3年,不需要融资,“**的项目团队可以让你得到快速成长”,0,15,12.5,10,10k-15k,"移动互联网,游戏",科技园,https://www.lagou.com/jobs/6739447.html?show=432f0d0792554576bd2cf73661f93d47,2000人以上,20200219,08:31:38,SQL 数据库,数据分析
20200218,00:00,行业好，福利待遇好，独角兽企业,云天励飞,硕士,"工作职责：
1、 参与海量数据预处理、分析及其加速
2、 探索、开发并维护数据基础设施，提供各种高效数据访问和处理工具
3、 优化并行计算模型，利用经典的机器学习模型快速提取数据特征
4、 基于数据特性，设计新的机器学习模型，并使设计的模型输出可解释性的结果


任职资格：
1、 全日制硕士及以上学历
2、熟悉大规模数据处理的技术，了解分布式计算环境的基本原理
3、 熟悉服务器各种基本操作，包括服务器的资源分配与管理
4、 有快速编程能力（Python, Scala和C++等）
5、 熟练掌握传统机器学习模型（KMeans, GMM和SVM等）的基本原理及其实现
6、 有深度学习模型开发经验
7、 熟悉Hadoop生态圈，以及Hbase、Spark等开发者优先考虑",经验5-10年,B轮,“行业好，福利待遇好，独角兽企业”,0,55,45.0,35,35k-55k,人工智能,深圳湾,https://www.lagou.com/jobs/6509478.html?show=432f0d0792554576bd2cf73661f93d47,500-2000人,20200219,08:32:16,Hadoop 数据挖掘 数据分析,大数据分析工程师
20200218,00:00,人工智能,云天励飞,本科,"1、参与数据分析与挖掘系统的需求分析，方案设计、系统研发和业务挖掘工作
2、参与图像大数据挖掘项目的开发
任职资格：1、熟悉Java平台IO、多线程、网络等基础知识和相关框架
2、熟悉Linux基础知识和常用命令，能较强的分析和解决问题能力
3、熟悉HDFS、Hbase、Hive等大数据存储技术工具，原理和应用
4、熟悉Yarn/Mesos、MapReduce/Spark，Kylin等大数据分析技术的一种或多种
5、熟悉数据集成和大规模数据转换技术和工具，如Kettle，Sqoop，Flume等
6、熟悉数据采集工程（爬虫）工作原理，能编写和部署大规模爬虫系统",经验3-5年,B轮,“人工智能”,0,28,22.5,17,17k-28k,人工智能,前海,https://www.lagou.com/jobs/5694165.html?show=432f0d0792554576bd2cf73661f93d47,500-2000人,20200219,08:32:56,数据挖掘 数据分析,大数据分析与挖掘工程师
